Title	Link
Suggesting Natural Method Names to Check Name Consistencies	https://dl.acm.org/doi/10.1145/3377811.3380926
Abstract Syntax Tree Based Source Code Antiplagiarism System for Large Projects Set	https://ieeexplore.ieee.org/document/9204963
Plagiarism Detection of Multi-Threaded Programs via Siamese Neural Networks	https://ieeexplore.ieee.org/document/9184827
SoCeR: A New Source Code Recommendation Technique for Code Reuse	https://ieeexplore.ieee.org/document/9202820
An Empirical Study in Software Verification Tools	https://ieeexplore.ieee.org/document/9405266
Which Metrics Should Researchers Use to Collect Repositories: An Empirical Study	https://ieeexplore.ieee.org/document/9282287
Code Coverage Similarity Measurement Using Machine Learning for Test Cases Minimization	https://ieeexplore.ieee.org/document/9291990
Utilizing Keywords in Source Code to Improve Code Summarization	https://ieeexplore.ieee.org/document/9345066
Automatic Detection for Reused Open Source Codes Based on Similarity Identification of Software Networks	https://ieeexplore.ieee.org/document/9045851
Teddy: Automatic Recommendation of Pythonic Idiom Usage For Pull-Based Software Projects	https://ieeexplore.ieee.org/document/9240709
How Fast and Effectively Can Code Change History Enrich Stack Overflow?	https://ieeexplore.ieee.org/document/9282283
Variability Visualization of IEC 61131-3 Legacy Software for Planned Reuse	https://ieeexplore.ieee.org/document/9283309
HomoTR: Online Test Recommendation System Based on Homologous Code Matching	https://ieeexplore.ieee.org/document/9285990
BIoTA: A Buildout IoT Application Language	https://ieeexplore.ieee.org/document/9121275
FTCLNet: Convolutional LSTM with Fourier Transform for Vulnerability Detection	https://ieeexplore.ieee.org/document/9343188
A Similarity Integration Method based Information Retrieval and Word Embedding in Bug Localization	https://ieeexplore.ieee.org/document/9282791
Recognizing the Data Type of Firmware Data Segments With Deep Learning	https://ieeexplore.ieee.org/document/9060884
DLFix: Context-based Code Transformation Learning for Automated Program Repair	https://dl.acm.org/doi/10.1145/3377811.3380345
Fret: Functional Reinforced Transformer With BERT for Code Summarization	https://ieeexplore.ieee.org/document/9146834
On the Efficiency of Test Suite based Program Repair A Systematic Assessment of 16 Automated Repair Systems for Java Programs	https://dl.acm.org/doi/10.1145/3377811.3380338
Using Eye- Tracking to Examine Query Syntax and Method Syntax Comprehension in LINQ	https://ieeexplore.ieee.org/document/9237910
Towards an Effective Implementation of a Model-Driven Engineering Approach for Software Development	https://ieeexplore.ieee.org/document/9092192
Diversity-Oriented Test Suite Generation for EFSM Model	https://ieeexplore.ieee.org/document/9006904
Detection of Repackaged Android Malware with Code-Heterogeneity Features	https://ieeexplore.ieee.org/document/8018581
A Suitable AST Node Granularity and Multi-Kernel Transfer Convolutional Neural Network for Cross-Project Defect Prediction	https://ieeexplore.ieee.org/document/9057380
StragglerHelper: Alleviating Straggling in Computing Clusters via Sharing Memory Access Patterns	https://ieeexplore.ieee.org/document/9139789
HAC-T and Fast Search for Similarity in Security	https://ieeexplore.ieee.org/document/9191381
Lambdata: Optimizing Serverless Computing by Making Data Intents Explicit	https://ieeexplore.ieee.org/document/9284203
Local Codes With Cooperative Repair in Distributed Storage of Cyber-Physical-Social Systems	https://ieeexplore.ieee.org/document/9006787
OAT: Attesting Operation Integrity of Embedded Devices	https://ieeexplore.ieee.org/document/9152803
Finding Ethereum Smart Contracts Security Issues by Comparing History Versions	https://ieeexplore.ieee.org/document/9286004
Conference Highlights: JIT Fault Prevention	https://ieeexplore.ieee.org/document/9121617
Use of Bash History Novelty Detection for Identification of Similar Source Attack Generation	https://ieeexplore.ieee.org/document/9343219
Optimizing Streaming Parallelism on Heterogeneous Many-Core Architectures	https://ieeexplore.ieee.org/document/9022909
Auto-Encoding Twin-Bottleneck Hashing	https://ieeexplore.ieee.org/document/9157770
Fuzzy Hashing Aided Enhanced YARA Rules for Malware Triaging	https://ieeexplore.ieee.org/document/9308189
Combinatorial-Based Event Sequences for Reduction of Android Test Suites	https://ieeexplore.ieee.org/document/9031238
MarkUs: Drop-in use-after-free prevention for low-level languages	https://ieeexplore.ieee.org/document/9152661
Familial Clustering for Weakly-Labeled Android Malware Using Hybrid Representation Learning	https://ieeexplore.ieee.org/document/8871171
Contrastive Representation Learning: A Framework and Review	https://ieeexplore.ieee.org/document/9226466
