	key	project	title	abstract	keywords	authors	venue	doi	references	pages	bibtex	screened_decision	final_decision	mode	inclusion_criteria	exclusion_criteria	reviewer_count	source	year	meta_title	link	publisher	metadata_missing
127		ModelingAssist	Scaling-up domain-specific modelling languages through modularity services									Excluded	ConflictExcluded	new_screen	I2: Is the proposal designed to assist users during modelling tasks in MDSE tools? We focus on proposals that assist users during modelling tasks in MDSE tools, including—but not limited to—modelling, model tracing, model debugging, model re-pair, and model validation, among others.		2		2019				
128		ModelingAssist	Improvement of chemotherapy thorugh reducing of cachexia by using Citrus unshiu peel extract									Excluded	ConflictExcluded	new_screen		E2: The proposal is not related to software engineering.	2		2019				
129		ModelingAssist	Extension to Interaction Flow Modeling Language (IFML) fro Android Application Modeling									Excluded	ConflictExcluded	new_screen		E1: The proposal’s main contribution is not to assist users during modelling in MDSE tools. If assisting users during modelling tasks is not the main contribution, we exclude the proposal using E1.	2		2019				
130		ModelingAssist	Usability of development tools: A CASE-Study									Excluded	ConflictExcluded	new_screen	I1: Is the paper exclusively dedicated to a particular proposal, rather than being a compilation of proposals, aimed at assisting users during modelling tasks in MDSE tools? Compilation of proposals like literature reviews, systematic mappings, or systematic literature reviews does not fulfil I1.		2		2019				
132		ModelingAssist	Removing redundant multiplicity constrains in UML class models									Excluded	ConflictExcluded	new_screen	I2: Is the proposal designed to assist users during modelling tasks in MDSE tools? We focus on proposals that assist users during modelling tasks in MDSE tools, including—but not limited to—modelling, model tracing, model debugging, model re-pair, and model validation, among others.		2		2018				
133		ModelingAssist	S3Mining: A model-driven engineering approach for supporting novice data miners in selecting suitable classifiers									Excluded	ConflictExcluded	new_screen		E1: The proposal’s main contribution is not to assist users during modelling in MDSE tools. If assisting users during modelling tasks is not the main contribution, we exclude the proposal using E1.	2		2019				
134		ModelingAssist	Evaluation of a Model-driven knowledge stroage and retrival IDE for interactive HRI systems									Excluded	ConflictExcluded	new_screen		E1: The proposal’s main contribution is not to assist users during modelling in MDSE tools. If assisting users during modelling tasks is not the main contribution, we exclude the proposal using E1.	2		2019				
135		ModelingAssist	A proposed model-driven approach to manage architectural technical debt life cycle									Excluded	ConflictExcluded	new_screen		E1: The proposal’s main contribution is not to assist users during modelling in MDSE tools. If assisting users during modelling tasks is not the main contribution, we exclude the proposal using E1.	2		2019				
136		ModelingAssist	Impact of model notations on the productivity of domain modelling: an empriical study									Excluded	ConflictExcluded	new_screen	I1: Is the paper exclusively dedicated to a particular proposal, rather than being a compilation of proposals, aimed at assisting users during modelling tasks in MDSE tools? Compilation of proposals like literature reviews, systematic mappings, or systematic literature reviews does not fulfil I1.		2		2018				
138		ModelingAssist	Micro-differential evolution: Diversity enhancement and a comparative study									Excluded	ConflictExcluded	new_screen		E2: The proposal is not related to software engineering.	2		2016				
139		ModelingAssist	Discriminant component analysis for privacy protection and visualization of big data									Excluded	ConflictExcluded	new_screen		E1: The proposal’s main contribution is not to assist users during modelling in MDSE tools. If assisting users during modelling tasks is not the main contribution, we exclude the proposal using E1.	2		2015				
140		ModelingAssist	An overview of traceability: Towards a general multi-domain model									Excluded	ConflictExcluded	new_screen	I1: Is the paper exclusively dedicated to a particular proposal, rather than being a compilation of proposals, aimed at assisting users during modelling tasks in MDSE tools? Compilation of proposals like literature reviews, systematic mappings, or systematic literature reviews does not fulfil I1.		2		2017				
141		ModelingAssist	Development of collaborative modeling tool and system thinking educational program for nano staellite developers									Included	ConflictExcluded	new_screen		E5: The proposal's full text is not available.	2		2017				
142		ModelingAssist	A tool support for the adaptation of user interfaces based on a business rules management system									Excluded	ConflictExcluded	new_screen		E1: The proposal’s main contribution is not to assist users during modelling in MDSE tools. If assisting users during modelling tasks is not the main contribution, we exclude the proposal using E1.	2		2017				
