link	meta_title	source	doi	title
https://www.scopus.com/inward/record.url?eid=2-s2.0-44049123230&partnerID=40&md5=a8c4c9ecf0c42390152a96822b2e74ea	performance effects of program structures on a snoopcached multiprocessor system			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85065019009&partnerID=40&md5=e8dfc694331dc7cb1df17caaf1a0274a	program comprehension present and future | 程序理解 现状与未来			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85123766031&partnerID=40&md5=8c8ae42e7afde8f6d3622dd6ae71ac92	quail a lightweight opensource discontinuous galerkin code in python for teaching and prototyping			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0029195784&partnerID=40&md5=a1596f4988e3fe884445e4875c201bab	relational geometric synthesis part 1framework			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85123397720&partnerID=40&md5=478a5d128303d3ba5897a1726cd3c275	research on the natural language normalness of software identifiers | 软件标识符的自然语言规范性研究			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0022877063&partnerID=40&md5=71eab3d35ea461a82c3ae3b5dd70eac6	reshex an interactive software package for the synthesis and analysis of resilient heatexchanger networksi. program description and application			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0032289460&partnerID=40&md5=35099466845acceaee967a3c8df62601	resourceconstrained nonoperational testing of software			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0022765271&partnerID=40&md5=ddc597ca1efcaddecb71301162b4d21b	software design by objectoriented functional layering			
https://www.scopus.com/inward/record.url?eid=2-s2.0-57649183948&partnerID=40&md5=8a094432e7c79cb37a4cc56d6222e9f8	software restructuring an architecturebased tool			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85082552260&partnerID=40&md5=25cb5bb0d4be4682df84e9d6a7b03d5f	software text semantic search approach based on code structure knowledge | 基于代码结构知识的软件文档语义搜索方法			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85130093240&partnerID=40&md5=5ea54dc0a5b9e7718d734407cdf96696	solving jumpin using zerodependency reinforcement learning (student abstract)			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85074128283&partnerID=40&md5=9c5d50dc37f3f0b33e91f2e494de56a7	source codebased contextsensitive dynamic slicing of web applications			
https://www.scopus.com/inward/record.url?eid=2-s2.0-46749146223&partnerID=40&md5=5e1f5dde8d70aa771df134e42a061c6f	spacetimefrequency codes in mbofdm uwb communications advanced order8 stfc and its performance			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84880180325&partnerID=40&md5=08fc02b6759af6d409bee3a8cbe0c6a8	spape a semanticpreserving amorphous procedure extraction method for nearmiss clones			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85101767190&partnerID=40&md5=23918ea2bbd1e5ebf30aad7f62519084	structurestatebased graybox fuzzing technique | 结构状态覆盖导向的灰盒模糊测试技术			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85074140479&partnerID=40&md5=0c1c2667e573a1d1c5b2366c2e965e26	supporting source code annotations with metadataaware development environment			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85125393878&partnerID=40&md5=5b38dc26cb67a22a52eedb29de22d12c	survey on neural networkbased automatic source code summarization technologies | 基于神经网络的自动源代码摘要技术综述			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85025173309&partnerID=40&md5=777557c602d6a4dc528044e92c3f295d	the discipline of preprocessorbased annotations does #ifdef tag nt #endif matter			
